person_id,when_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:153420309,When I was born,0.77,4,0.10435032082259336
US:3213703,At a very young age.,0.29,6,-3.1135742880016957
US:41063862,Always,0.23,1,-4.413427954033356
US:1437241,A long time ago.,0.55,5,-1.0741916192089902
US:45827685,When my ex stated she was an republican,0.23,8,-5.775162104441067
US:182884763,I agree with most everything the republicans do and think the democrats are trying to make the people dependent on the government.,0.44,25,-1.753712031967008
US:24918722,Over the last few years when voting for the Democratic candidate,0.3,11,-2.929473980040474
US:40618263,2016,0.36,2,-2.358311613479094
US:4316372,1985,0.26,2,-3.528788636795621
US:22969670,As soon as I was of voting age,0.37,8,-2.2310930796693818
US:35672523,When I was in high school.,0.55,7,-1.067518972122206
US:27382076,During college when I was learning about government and civil rights.,0.3,12,-2.896391219704216
US:1571973,1960,0.28,2,-3.17807639983699
US:165827235,Probably about ten years ago when I was learning about the different parties and coming into my identity as a marginalized person.,0.28,23,-3.2028625021608814
US:172003357,As a teenager when I witnessed the strong racism and bigotry from the republicans and also their force of their religion on everyone.,0.25,25,-3.7461936479069378
US:162798869,I thought of myself as a Republican in 2004.,0.62,12,-0.7256034860486463
US:203369965,Don’t know,0.58,3,-0.9517419411454676
US:192777411,Probably around 2007 I think.,0.35,8,-2.4054695018677763
US:145782741,When I voted for JFK for President.,0.22,8,-5.223643934113456
US:101551735,From birth I've been close to the Republican Party.,0.31,11,-2.776201412132471
US:165922855,Always,0.23,1,-4.413427954033356
US:117331823,When I realized the democrats don't care about me,0.32,11,-2.7144684746759653
US:4412186,Allways have thought that,0.24,5,-3.8422463049979987
US:3164254,Over 20 years ago,0.67,5,-0.42764914000944054
US:183369565,Stop wasting government money put traitors in jail,0.26,9,-6.583132772698644
US:39417223,At a very early age 16- 17 YO,0.25,12,-3.7462000027611886
US:186274103,"When I compared policy approaches, I agreed with the democrats' way of doing things.",0.29,18,-3.1182095259939415
US:206068529,In voting day,0.22,3,-5.256401571521358
US:4130138,"BASICALLY WHEN I WAS IN HIGH SCHOOL AND TOOK CIVICS. AND, I CONTINUED IN THAT DIRECTION AFTER GRADUATING AND STARTING TO VOTE.",0.41,38,-1.950435259778225
US:195224515,When I was 18,0.86,5,0.6650241478731009
US:207421231,Because I don't don't do politics.,0.25,9,-3.812591314425382
US:193198921,"Obama was the first President I voted 🗳 for. It’s not because of his party affiliate, it’s because I thought he would make a difference. He, like those before him did nothing that benefits this country.",0.28,45,-3.2076354554156303
US:178410399,During the GW Bush administration,0.23,5,-4.197564561168742
US:200818699,As a child growing up,0.69,5,-0.3339860907664348
US:163244629,probably the Reagan era,0.24,4,-6.207999717668306
US:176988331,Since I started being aware of what is going on. Both sides have something right,0.23,16,-4.1200972599588965
US:2999933,During 2008 election,0.24,5,-4.055185766185327
US:238534,When I turned old enough to vote,0.32,7,-2.6603212843575577
US:4637314,I've always been a Republican it runs in the family,0.29,11,-3.008982639739488
US:4350425,Ever since I started to vote.,0.27,7,-3.365461769182555
US:155847739,No idea,0.27,2,-3.377776679278572
US:142482955,In kindergarten.,0.23,3,-5.8967264147720035
US:37558461,twenty-five years ago,0.38,4,-2.1787338444710795
