person_id,when_decided_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:4714828,In my twenties,0.36,3,-2.3381037779336267
US:139932175,This question does not make sense.,0.57,7,-1.0041565558203094
US:3335947,I have been an independent for decades and always vote for the candidate I believe is best regardless of party.,0.64,21,-0.6115629429360753
US:173086831,Follows my values,0.22,4,-5.423236770588826
US:173581789,2016,0.36,2,-2.358311613479094
US:41787297,Because republicans don’t care for people like me,0.26,10,-3.4654385480684367
US:101231599,Forever,0.22,1,-5.416363283947655
US:715480,when i was 18,0.51,5,-1.3085752900969954
US:3301322,"I always felt this way. I vote for the person, not the party",0.78,15,0.14023175167400806
US:141621219,When I was in school and seen how they are liars,0.27,12,-3.394283996243073
US:3274215,At an early age.,0.32,5,-2.715313403004623
US:142478193,Around 2008,0.5,4,-1.3761731650951292
US:132432035,"When Barrack Obama had tourists escorted out of Yellowstone at gunpoint because of a stalemate on a budget extension. He did this so he could say ""look what the republicans made me do"". Absolute coward move.",0.22,44,-4.952805866582993
US:28810803,Long ago,0.58,2,-0.9025195731826786
US:179341765,About 20 years ago.,0.32,6,-2.7100383632513663
US:30591240,Grade school.,0.22,3,-4.777591380402822
US:154053821,I have always been a Republican,0.71,6,-0.2514405468366207
US:46556501,Age 21,0.36,3,-2.3463814631346933
US:1935139,When I registered as Independent,0.24,5,-6.23614577419947
US:40742074,in 7th grade,0.54,5,-1.1398871007991336
US:42790496,when i got older and started a family,0.39,8,-2.126303421776736
US:299088,1980,0.3,2,-2.97577091420927
US:191609515,During the 2020 election,0.86,6,0.6583564481907639
US:38262359,About 45 years ago. I was an independent and realized I couldn’t vote in party primaries so I decided to register as a Democrat.,0.32,28,-2.758827308848134
US:127495525,about 20 years ago.,0.39,6,-2.1203687714741424
US:201031447,I have been a Democrat since I could vote because I always knew they aligned more with the common man.,0.43,21,-1.813576592495407
US:39910030,when i was in my 20s,0.71,8,-0.25600220504484983
US:1192423,don't remember,0.24,3,-3.948449649438106
US:2771319,1992,0.25,2,-3.8100175000528584
US:40728298,2000,0.48,2,-1.514072093272649
US:40964749,When Trump ran for president in 2015. And even a little before as I was starting to vote democrat.,0.23,23,-4.265270121831579
US:102011707,1998,0.26,2,-3.5757084589010577
US:134007785,40 years ago,0.43,3,-1.8355180630508676
US:1240764,Prior to the election of 2016.,0.45,9,-1.7034834393740623
US:41180736,When Trump became a thing,0.27,5,-3.368318692877964
US:1242473,About 60 years ago!,0.23,6,-4.199983996885534
US:139218423,"After i saw how full of shit Obama was and how he didnt give a single shit about the troops and how he skyrocketed prices of gas and pretended to care but definitely didnt give a single shit about the common American. The Benghazi scandal was also incredibly eye-opening when Hillary said ""DOES IT EVEN MATTER AT THIS POINT"".. Shows that they are just involved in politics for their own monetary gain and literally do not care about the people who make up the backbone of this country.",0.24,96,-3.8324509824453257
US:1382468,Two issues...first was when the NRA/Wayne LaPierre 's influence over the republican party against common sense gun control and the second was Citizens United ruling by the Supreme court,0.24,36,-3.9560880440300754
US:205180495,1990,0.27,2,-3.29802868521681
US:24918332,10 years ago,0.54,3,-1.14254642896531
US:165565,no idea,0.22,2,-5.143346079882542
US:186905511,Back when I was growing up,0.59,6,-0.8880707808290353
US:835576,At 18.,0.43,4,-1.8060193860309808
US:172566,when dems went totally off the rails way too liberal and do not reflect the views of most americans,0.24,21,-3.937951785362805
US:132490067,Age 18,0.38,3,-2.2048682343621104
US:29633356,When I registered to vote at the age of 18.,0.42,12,-1.8876815736321273
US:3450301,When Regan ran for president.,0.23,7,-4.370054530689508
US:4330148,not sure,0.24,2,-4.0409995562355
US:671852,When I became a voting age,0.32,6,-2.718850922210056
US:193193381,When I realized democrats are worried about the least important stuff that is literally tearing our country apart.,0.24,20,-4.029426161662219
US:192681977,Because I’ve seen what’s going on in the government today! So many of them don’t care what the people need. They’re just following their leader because they don’t wanna be on his bad list. I just don’t understand why they don’t stand up to him and make things right,0.4,59,-2.0220638649078535
US:29543128,20's,0.22,2,-5.445856015383379
US:926824,Before I turned 18,0.54,5,-1.164157078946027
US:203734615,I don’t ever remember even though I’m a registered democrat that I didn’t vote for the person I thought would do the best job no matter what party they belonged to,0.58,34,-0.9519087799428465
US:40682344,Quite a few years ago,0.67,5,-0.4655431766313128
US:200358739,2016,0.36,2,-2.358311613479094
US:798562,when I was 16,0.56,5,-1.0556726966577101
US:26176949,Because,0.27,1,-3.3287414279359746
US:166837151,When both showed.no.interwst in what the people want and need,0.35,14,-7.73470640228777
US:196851567,many years ago.,0.37,4,-2.2105553872115906
US:3364086,I WAS ABOUT 30 YRS OLD WHEN I REALISED THAT THE REBUBLICANS HAD MORE POWER IN THE COUNTRY EVEN WHEN THEY DID NOT HAVE MAJORITY RULE IN CONGRESS.THEY COULD CONTROL THINGS REGARDLESS.,0.25,49,-3.6519942042812787
US:2396096,Don’t recall,0.3,3,-2.916045404304097
US:40790377,1976,0.23,2,-4.140705501712556
US:109981989,Two years ago,0.73,3,-0.10743072834773425
US:158637221,It has been a while since I became a Democrat. I believed their policies more than the other party.,0.53,21,-1.2074791142675336
US:1088813,In 1972 I voted for the Democratic candidate George McGovern which was my first time voting. The country was experiencing much tumult due to the Vietnam War. McGovern was the anti war candidate. I was a college student involved in school moratoriums and protests against the war. I have voted Democrat since then.,0.59,64,-0.8939992377794711
US:986543,When democrats decided they were against traditional American values and the Constitution.,0.26,14,-3.4782536693762887
US:40244390,In the last decade or so.,0.39,7,-2.102589248140497
US:1436258,30 years ago,0.49,3,-1.4128783088334185
US:1851770,First time I voted,0.32,4,-2.685725230007318
US:106331331,During the Kennedy Era- 1960's,0.24,9,-4.014004444340409
US:191976941,In about 2022 - I became completly just disgusted with both sides of the politacal scene- Neither R or D cars about me or you,0.26,31,-6.722557225220729
US:3348464,when i was 21,0.44,5,-1.7147165882238409
US:41485109,The year I registered to vote. In 1970.,0.33,12,-2.580132782059432
US:3183908,I have considered myself a democrat since I began voting at 18 years old.,0.72,16,-0.16793008633609427
US:1338750,Because they are the most sane,0.33,6,-2.6485774003754385
US:163763461,Not sure,0.38,2,-2.1874984942408053
US:1447440,Growing up in the 60’s/70’s,0.64,10,-0.5893343323810376
US:809637,The first time that Donald Trump was running for president and I listened to his agendas.,0.35,17,-2.413958498185438
US:180686753,have always felt that way,0.29,5,-3.0191781747927986
US:2013160,Before I was able to vote.,0.29,7,-3.044420555247802
US:39197801,xxxx,0.22,1,-5.167291402037574
US:150448781,In the early 2000s,0.96,7,1.7781894179041169
US:133816539,1980's,0.35,3,-2.431552909795277
US:131944009,During the Reagan administration.,0.24,5,-4.013655778035732
US:1209600,After high school,0.39,3,-2.073261514493734
US:35437871,Sometime during the past 4 years,0.63,8,-0.6496253698175438
US:3796250,I believe I was in my early 30's.,0.54,11,-1.1279822741071333
US:134213293,During the Biden presidency,0.31,4,-2.8463578093832713
US:1922855,When I was about 25 years old,0.76,8,0.02440993742745126
US:3780090,when i first registered,0.25,4,-3.76967101503292
US:144891219,At 18 years old,0.59,5,-0.8859498384463295
US:3056112,In my twenties.,0.23,4,-4.20988195762548
US:118857001,"Probably early, shortly after I was able to vote",0.22,10,-4.525451880841552
US:181576479,at 18,0.26,3,-3.466550620829022
US:39061102,When I was 18 yo,0.37,6,-2.231972032762592
US:183192599,As early as I can remember. Probably influenced by my republican parents,0.22,13,-5.185135669085533
US:387354,"When I first started voting, 50+ years ago",0.33,11,-2.5824710251614933
US:124403407,No comment,0.25,2,-3.8145176195345756
US:1607245,When Joe Biden took office and tried to start legislation against freelance/independent contractors/gig work.,0.25,19,-6.384502906213399
US:1100655,As a teenager,0.69,3,-0.35601915469780177
US:195202907,1968,0.24,2,-3.9177846743557936
US:1801606,Probably during the Reagan administration,0.23,5,-4.297598183549556
US:102291189,"many years ago, as i believe in freedom of speech and protecting programs that help people",0.26,17,-3.5540085494886458
US:4050783,When Trump first ran for president,0.51,6,-1.2937882643897873
US:2628431,2012,0.31,2,-2.823227501159223
US:2130895,When George H.W. Bush was running for his second term.,0.36,13,-2.332726191526308
US:37418978,Years and years and years ago!,0.26,7,-3.5619027623210906
US:31391531,1980s,0.53,3,-1.2153106483540557
US:27813849,years ago,0.23,2,-5.950614861191519
US:1207020,At 18 years of age.,0.31,7,-2.850747784494259
US:27610611,1989,0.26,2,-3.481218101704184
US:33115886,"I decided I was a Republican when I saw what the Democrats were doing with open borders and electing a man with declining mental ability to run our country. We need someone, like Trump, that loves America",0.34,41,-2.5001265688151806
US:123809551,Teenager,0.42,2,-1.9061124262754956
US:2506263,At the age of 19.,0.54,7,-1.1399492809693053
US:1552101,I always have.,0.43,4,-1.8056662733995268
US:109969457,I think it was in 1979 when I began voting.,0.56,13,-1.0448510198669074
US:1782705,In 1969 I voted for Nixon. I liked what the Republican party view was. And my husband was in the Military at the time.,0.26,29,-3.4830530860586357
US:40548970,911 could not believe what happened and we had a muslin president,0.22,13,-5.505148622827969
US:1459613,When Donald Trump first ran for president. I used to lean Republican but no longer do so.,0.35,19,-2.4621091037421428
US:140047513,When I became old enough to know the difference,0.59,9,-0.8717042991309835
US:421044,"Before I could even vote. Barry Goldwater disgusted me. Then Nixon. And then Ford pardoned Nixon. Reagan was just so so. Bill Clinton , while morally bad, was a great President. I have seen no reason to vote any other way.",0.24,51,-3.963617094768762
US:31285624,When I saw the injustice in our country.,0.3,9,-2.891516682278749
US:127758531,Got tired of being lied to by democrats,0.35,9,-2.3949002125508554
US:27341118,18 year old.,0.26,4,-3.5418430295097347
US:131812505,when I voted for the first time.,0.47,8,-1.5394395492957442
US:1059224,When I realized that the Democrats had nothing to offer the average person,0.49,13,-1.415597010689714
US:160083263,Probably when Donald Trump was first elected president.,0.29,9,-3.094958757689047
US:43593495,When I turned 18 and could vote.,0.41,9,-1.969109037159128
US:39614795,At 18 yrs old,0.33,5,-2.6590748770547727
US:196500361,Joe Biden was a terrible president,0.65,6,-0.5636179682927057
US:24918143,"During the Obama administration, when a ""democratic"" president elected with a change mandate continued or expanded all of bush II's criminal, fascist and imperialist policies.",0.22,33,-4.574215496841105
US:127931873,.,0.24,1,-3.82686766899377
US:182109119,when i saw the corruption of the conservative side of government and realized how little they care about others,0.32,19,-2.67225525968671
US:45753486,early 80's,0.24,4,-4.020186204476018
US:2810659,A few years ago.,0.48,5,-1.4823424101966407
US:33608141,2000,0.48,2,-1.514072093272649
US:131350781,I have always thought this.,0.54,6,-1.1304809856099427
US:3353432,As a child. Well before I was of age to vote. Family especially Mothers Father. Liked their message at the time.,0.22,26,-5.5720935141912955
US:125431911,1976,0.23,2,-4.140705501712556
US:1714235,During George W. Bush term.,0.31,7,-7.325521707015163
US:28112354,When eligible to vote,0.25,4,-3.635245531222217
US:199225561,I'm not really sure,0.86,5,0.7257201148512686
US:157295059,When I was a teenager I saw the distortion in the political system,0.45,13,-1.645396044504544
US:39564325,When I voted in my first election in 1996.,0.37,12,-2.220476537290784
US:155886107,Long ago. Cannot remember,0.22,5,-5.223044184229383
US:30471007,Politicians are all about getting in office and they never keep anything they say they're going to do even though Trump is doing a lot of the stuff he said he was going to do he's also raising tariffs on different countries and causing inflation and that's very upsetting and concerning to me how a person can do that and not care about the people having money to feed their children or the grandchildren,0.34,78,-2.4935925284296845
US:1531802,When I was 8 years old,0.88,7,0.8225055324946319
US:42604904,High school,0.56,2,-1.0506428243407415
US:4658123,as a teenager,0.33,3,-2.588816229249018
