person_id,why_think_pid_with_when
US:176660221,As I got older became more conservative
US:39857116,It seemed that I agreed with the republican platform much more than the democratic one.
US:1915603,Democrat party (and influential members) lost reality and began censoring freedom of speech.
US:154799359,Due to the many actions by Republicans and Trump I truly believe the republican party must be fully dissolved because most of them could care less about Americans and what the U.S. stands for.
US:117063461,I think of myself as a Republican because I feel the party is on the right side of most issues.
US:46854801,I think government should be limited. Citizens should depend on their selves
US:141316529,"My values align with Democrats. Never have aligned wit republicans - who are now supporting a criminal running an authoritarian government and a cabal that wants to destroy our government, cultural and educational institutions"
US:29196009,"Because generally, that's the way I think the way the democrats think, however, I do have a strong republican views"
US:35974578,I want a level playing field between the public and big business.
US:1015933,I dont care about politics
US:190809023,Republicans tend to put the good of the Nation before lining their pockets.
US:197879847,Because I believe most of what Republicans say more than what Democrats believe
US:138955263,"I believe in social programs, that everyone should be house and fed, in equal rights and protecting the vulnerable."
US:40740267,They are imperfect but they seem to believe in doing what is beneficial to the average person.
US:2657780,"the party represents free will and doesn't give handouts as a way of buying votes and pandering---most Democrats are ""tax and spend"""
US:4290188,AGREE MORE WITH WHAT THE REPUBILCAN SAY THEN THE DEMOCRATS
US:40721305,I feel people should have more freedom
US:314215,better policies
US:173640705,Because the dems are too radical and support many ideologies I disagree with
US:29864847,"Tends to be more of a party for average person, middle of the road American"
US:188327943,Because both parties are more concerned with cultural issues like Stop the Steal and DEI than they are with fixing important economic issues like the cost of living and stagnant wages
US:193760887,Because I believe in drawing lines and setting boundaries on certain issues facing the country. I found that those issues were taken too lightly.
US:2474594,Democratic party is too focused on making sure they are the only ones in power at all levels. Republicans are too principaled to govern effectively.
US:495847,Because the ideology and the policies of the liberals do not align with what I believe.
US:29454577,"My answer to the previous question explains it, so I will repost it here: I had been a Republican back in the 1970s and 1980s, but switched to Democrat when the Republican Party became infested with Rush Limbaugh. I switched back to Republican because of the Democrats supporting DEI and funding universities. The problem with universities extends beyond crazy left wing stuff. Science actually has become infected because too much money has been spent in it, and it has become a big bureaucracy, often advancing nonsense because people want to conform. I still do prefer the Democrats on smoking--they are more supportive of smoking bans in public places and other anti-tobacco measures. I slightly prefer the Democrats on other environmental issues, but they are now pretty weak. For example both Biden and Harris supported fracking, and the Democrats chose a coal lobbyist, Jaime Harrison, to be the head of the DNC just prior to the current head. Why did they do this? Because he was black, and that is all they care about."
US:39565636,I believe in the United States of America. I believe in our constitution. I believe in law and order. I don’t believe in the far left ideology that has spread through our educational and social systems. I believe in President Trump’s administration to make America great again! God bless all!
US:2559310,MAGA and the rule of law !
US:131893163,I oppose killing babies
US:145200391,"The way Republicans ""behaved"" during Obama's term in office was a turn off. Democrats seemed to want to do things for us while Republicans seemed, and still seem, to want to do things for them not their constituents"
US:2594180,I am for the middle and lower class people. The rich are parasites who pay minimal or no taxes.
US:27124844,"They both work for the same people, i.e., the uber rich, Wall Street titans, and large corporations. Those people are not average Americans."
US:188436735,"I believe all people deserve the benefit of a competent government, not just the rich and elite who can pay for it."
US:115442519,"Equality for all; help those who need it, but without giving them things for nothing"
US:140242283,Low taxes freedom
US:188501541,The Democratic Party's focus on equity and justice aligns with my core values.
US:170396695,"I take a more liberal position on key things like gun policy, abortion, immigration, etc. I think the government should step in more to help the population"
US:101669325,I feel like I agree with what they stand for
US:108028501,Because I don't like any republican candidates
US:186891765,I DON'T THINK AND ACT LIKE A CROOK.
US:672977,"Democrats are dishonest and socialist; republicans are lazy and ineffectual, constantly giving the Democrats more power."
US:187630747,Because democrats are not selfish
US:40246084,I grew up in a republican household.
US:4638263,Because I find good in both parties
US:2563039,I care about more than money
US:176224,The Democratic Party has gone Socialist !
US:26619647,"Business, right way, military"
US:186895145,Believe in the constitution not interpretations that fit other ideas
US:31505686,Democrats do much more for the people. Republicans work for the wealthy and don't seem to care at all for anyone without money. The rich get richer at the expense of those without money. Their taxes should be greatly increased. It wouldn't affect their standard of living one iota.
US:3089805,"I consider myself center, or slightly left of center on the majority of the issues. The majority of Republicans don't support my options on the majority of issues. This is especially true today with the MAGA extreme right, especially on social issues."
US:172820435,Republicans are more geared towards people
US:36497032,I believe in Democracy not autocracy
US:2876445,Don't remember
US:40594036,Because I know ZERO about politics
US:32967718,"I hate the two party system, but have always been more progressive"
US:141524063,I don't agree with Democratic policies
US:2273805,"I believe in a strong public sector along with a strong, well regulated, private sector."
US:39409256,"Their policies support more people's needs, especially the weak and vulnerable"
US:28233243,"I'm not hateful like a Republican, nor am I greedy or a liar. I am more humane as a Democrat, and if it takes some of my tax money going to social programs so be it."
US:46130737,I am someone who wants to fight for the people
US:1215825,I’m working class and former Union member
US:40642036,The Republicans seem to be more aligned with what their constituents want!
US:135088049,It is a party that generally speaks and forms/establish the policies that have a positive impact on the lives of/for all Americans.
US:197366017,I am more of the middle of the road
US:3164502,A lot of their beliefs coincide with what I believe in. This is very important to me.
US:963660,"In general, they come closest to the way I believe the country should be run."
US:106791941,Because the democrats are out of touch with reality
US:33759408,I don't
US:41792194,I believe in freedoms of choice
US:153975485,I do not think of myself as a Democrat.
US:42677366,"I am a believer in the America first agenda, to shrink the size of our bloated government, eliminate the waste in government and adjust the tariffs on every country so that we are making money every day rather than losing millions on trade daily."
US:4515565,Because there are only two viable political parties and the GOP have proven to be aganst everything the US Constitution says and stands for.
US:3141918,They most closely align with my beliefs
US:32546137,"I hold to a view that our nation needs to get back to Biblical values. A nation that murders a million babies a year for the sake of anything goes, and no morality will be judged by God. We need to make God and His word our standard. The republican party is closer the that mindset than the democratic party is."
US:166973633,I believe that it's the party that helps people no matter what and I have the same conviction
US:188253815,"When I first voted, I leaned more towards democratic views. And still do today."
US:206097593,"I decide on which party will benefit me, my family and future best"
US:163440249,Boring
US:134351069,Because a friend of mine was a republican ward leader and he convinced me to change from democrat to republican
US:27926123,My ideals align with the progressive democrats an everything and almost nothing in agreement with the republican policies
US:25459674,Donald Trump is evil and deranged. I cannot support a political party that supports Trump.
US:40624657,I believe Democrats are more liberal and responsive to peoples needs and wants.
US:1184762,"I still share many of the core values of the republican party, but disagree with how they implemented."
US:4278761,Because we think what is best for everyone not just the upper class
US:177983087,I have never agreed with the GOP economic strategy or their conservative policies.
US:45726052,Fiscal conservatism outweighed social liberalism in relevant legilaslation because social rights laws historically have not been voted on in modern history.
US:169123083,I really don't care about politics
US:146206817,I think the Democratic platform is more empathetic to those who are not white wealthy males.
US:130887335,"I am a bit conservative, but do not think of myself as a strong Republican. I try to focus on issues, not parties"
US:2631103,"Because I don't think we should be giving taxpayer dollars to the whole world. I don't know who decided we are the protectors of the world. Money going everywhere else could be spend her to fix our roads, highways and everything else that's falling apart. I pay more for my health care now that I'm retired than when I worked with less funds. Why can't I get mine for free too."
US:28202945,I think both sides have good and bad points and I have voted for both parties
US:189290073,after following the news and discussing thing over with friends. getlots of opinion and see what all the3 current issues are and the more republicans i talked to the more i felt a part of them
US:2734679,For the people
US:170432149,I trust more of what republicans do than democrats. Republicans take care of the issues while democrats say they will but never do
US:3196180,I am certainly not a MAGA republican
US:183489953,"I do not take political sides. I choose the issues that are important to me, regardless of which party they are connected to. I don't agree with everything about either party."
