person_id,when_decided_pid
US:165565,no idea
US:186905511,Back when I was growing up
US:835576,At 18.
US:172566,when dems went totally off the rails way too liberal and do not reflect the views of most americans
US:132490067,Age 18
US:29633356,When I registered to vote at the age of 18.
US:3450301,When Regan ran for president.
US:4330148,not sure
US:671852,When I became a voting age
US:193193381,When I realized democrats are worried about the least important stuff that is literally tearing our country apart.
US:192681977,Because I’ve seen what’s going on in the government today! So many of them don’t care what the people need. They’re just following their leader because they don’t wanna be on his bad list. I just don’t understand why they don’t stand up to him and make things right
US:29543128,20's
US:926824,Before I turned 18
US:203734615,I don’t ever remember even though I’m a registered democrat that I didn’t vote for the person I thought would do the best job no matter what party they belonged to
US:40682344,Quite a few years ago
US:200358739,2016
US:798562,when I was 16
US:26176949,Because
US:166837151,When both showed.no.interwst in what the people want and need
US:196851567,many years ago.
US:3364086,I WAS ABOUT 30 YRS OLD WHEN I REALISED THAT THE REBUBLICANS HAD MORE POWER IN THE COUNTRY EVEN WHEN THEY DID NOT HAVE MAJORITY RULE IN CONGRESS.THEY COULD CONTROL THINGS REGARDLESS.
US:2396096,Don’t recall
US:40790377,1976
US:109981989,Two years ago
US:158637221,It has been a while since I became a Democrat. I believed their policies more than the other party.
US:1088813,In 1972 I voted for the Democratic candidate George McGovern which was my first time voting. The country was experiencing much tumult due to the Vietnam War. McGovern was the anti war candidate. I was a college student involved in school moratoriums and protests against the war. I have voted Democrat since then.
US:986543,When democrats decided they were against traditional American values and the Constitution.
US:40244390,In the last decade or so.
US:1436258,30 years ago
US:1851770,First time I voted
US:106331331,During the Kennedy Era- 1960's
US:191976941,In about 2022 - I became completly just disgusted with both sides of the politacal scene- Neither R or D cars about me or you
US:3348464,when i was 21
US:41485109,The year I registered to vote. In 1970.
US:3183908,I have considered myself a democrat since I began voting at 18 years old.
US:1338750,Because they are the most sane
US:163763461,Not sure
US:1447440,Growing up in the 60’s/70’s
US:809637,The first time that Donald Trump was running for president and I listened to his agendas.
US:180686753,have always felt that way
US:2013160,Before I was able to vote.
US:39197801,xxxx
US:150448781,In the early 2000s
US:133816539,1980's
US:131944009,During the Reagan administration.
US:1209600,After high school
US:35437871,Sometime during the past 4 years
US:3796250,I believe I was in my early 30's.
US:134213293,During the Biden presidency
US:1922855,When I was about 25 years old
US:3780090,when i first registered
US:144891219,At 18 years old
US:3056112,In my twenties.
US:118857001,"Probably early, shortly after I was able to vote"
US:181576479,at 18
US:39061102,When I was 18 yo
US:183192599,As early as I can remember. Probably influenced by my republican parents
US:387354,"When I first started voting, 50+ years ago"
US:124403407,No comment
US:1607245,When Joe Biden took office and tried to start legislation against freelance/independent contractors/gig work.
US:1100655,As a teenager
US:195202907,1968
US:1801606,Probably during the Reagan administration
US:102291189,"many years ago, as i believe in freedom of speech and protecting programs that help people"
US:4050783,When Trump first ran for president
US:2628431,2012
US:2130895,When George H.W. Bush was running for his second term.
US:37418978,Years and years and years ago!
US:31391531,1980s
US:27813849,years ago
US:1207020,At 18 years of age.
US:27610611,1989
US:33115886,"I decided I was a Republican when I saw what the Democrats were doing with open borders and electing a man with declining mental ability to run our country. We need someone, like Trump, that loves America"
US:123809551,Teenager
US:2506263,At the age of 19.
US:1552101,I always have.
US:109969457,I think it was in 1979 when I began voting.
US:1782705,In 1969 I voted for Nixon. I liked what the Republican party view was. And my husband was in the Military at the time.
US:40548970,911 could not believe what happened and we had a muslin president
US:1459613,When Donald Trump first ran for president. I used to lean Republican but no longer do so.
US:140047513,When I became old enough to know the difference
US:421044,"Before I could even vote. Barry Goldwater disgusted me. Then Nixon. And then Ford pardoned Nixon. Reagan was just so so. Bill Clinton , while morally bad, was a great President. I have seen no reason to vote any other way."
US:31285624,When I saw the injustice in our country.
US:127758531,Got tired of being lied to by democrats
US:27341118,18 year old.
US:131812505,when I voted for the first time.
US:1059224,When I realized that the Democrats had nothing to offer the average person
US:160083263,Probably when Donald Trump was first elected president.
US:43593495,When I turned 18 and could vote.
US:39614795,At 18 yrs old
US:196500361,Joe Biden was a terrible president
US:24918143,"During the Obama administration, when a ""democratic"" president elected with a change mandate continued or expanded all of bush II's criminal, fascist and imperialist policies."
US:127931873,.
US:182109119,when i saw the corruption of the conservative side of government and realized how little they care about others
US:45753486,early 80's
US:2810659,A few years ago.
US:33608141,2000
US:131350781,I have always thought this.
US:3353432,As a child. Well before I was of age to vote. Family especially Mothers Father. Liked their message at the time.
US:125431911,1976
US:1714235,During George W. Bush term.
US:28112354,When eligible to vote
US:199225561,I'm not really sure
US:157295059,When I was a teenager I saw the distortion in the political system
US:39564325,When I voted in my first election in 1996.
US:155886107,Long ago. Cannot remember
US:30471007,Politicians are all about getting in office and they never keep anything they say they're going to do even though Trump is doing a lot of the stuff he said he was going to do he's also raising tariffs on different countries and causing inflation and that's very upsetting and concerning to me how a person can do that and not care about the people having money to feed their children or the grandchildren
US:1531802,When I was 8 years old
US:42604904,High school
US:4658123,as a teenager
US:186901207,at a young age when worker's issues were explained to me
US:204683049,Many years ago
US:112940837,as far as I remember
US:104629999,when i was old enough to vote.
US:28088203,about 10 ago years when I realized the parties are both blouted and issues started to become unrecognizable to me
US:4404089,when Trump first ran
US:116840473,When I was 21
US:119972761,After the first election of Trump
US:45673939,When I turned 21 & registered to vote.
US:30010531,1976
US:672072,In 1960
US:139480335,Back when Jimmy Carter ran for president
US:121271479,im not sure
US:4399493,The past election when they wanted Biden out.
US:121399723,"I decided that for sure, during the Biden admin because of all the lies!"
US:25417167,When I was 18
US:3662187,"I was a Democrat for 36 years, and then they started going so far left and crazy that I switched to Indpendent. Now they have become completely anti American"
US:42684931,BACK IN THE 80S
US:39471690,Around the age of 16 (~2014).
US:2757816,In my 20's.
US:1125472,1991
US:3700569,At 21
US:46324796,I like them better than Democrats
US:40582209,after oboma wasa elected
US:33196069,30 yrs ago
US:39483585,Back in the 60s
US:177775741,When Johnson made civil rights legislation
US:357377,I was an independent until 2008 and that year registered Republican and have stayed that party.
US:3997343,"I grew up in a family that was predominantly Democratic. From earliest years, I listened to arguments around a dinner table often which generally reflected the ideas of the Democratic Party."
US:4203069,1968
US:365810,1968
US:168924813,18 years old
US:165860111,In my 20’s
US:31807463,Many years ago
US:3969042,"Bill Clinton’s first term. I always voted Republican before that, my stepfather who lived the Depression talked me into voting Democrat for the first time. He was afraid of a conservative SUPREME COURT"
US:139628455,2015
US:46344448,"This has happened in three specific, escalating notches. First, in 2015, before the first time Trump was elected. Second, I significantly increased my dislike of both parties after January 6. Finally, my worst nightmares came true after Trump took office in 2025. when the Republicans became moral invertebrates (or showed their true essence), and the Democrats flailed and failed, misunderstanding working class Americans entirely. And"
US:3611596,1976
US:1856759,I don’t remember
US:189946429,When I realized I’m more “old fashioned”
US:41009574,After Obama became president
US:138735801,Can't remember
US:24056301,When I became a naturalized citizen in my twenties
US:41512244,Don't agree with Republicans ideas of how to treat people
US:175230835,"Back in 1976, I voted for Jimmy Carter for President. Ever since then, the Democrat party has been shifting more left each year, accelerating as it goes. I have been voting Republican since 1980."
US:2727107,2016
US:170604849,50 years ago
US:1244646,Last year beforeBiden stepped down
US:2968047,I just decided on my own.
US:124059747,probably as a teenager
US:1122219,I've identified as a moderate for as long as I can remember.
US:39737022,2016
US:33688478,"Always have been, but prefer to think of myself as not a member even if I have been."
US:43908780,At the age of 18 years old
US:672969,When the Democrats turn so rapidly and so far left that they simply left the moderate people in this nation
US:39890854,Many years ago
US:1829038,Since elementary school. The election that Barry Goldwater lost was the first time I recall having a political ppinion
US:40593308,5 years ago
US:117540281,because i am not labeled one way nor another both sides to rigid
US:4017738,years ago
US:2062755,"In 1976 when Jimmy Carter wreaked havoc with our economy. Gas lines, taxes, shortages. Moron."
US:41002666,Bill Clinton's term
US:191299665,When I was 8 years old
US:203671095,2000
US:4251715,it is what my family was
US:40164018,Ill admit i wasn't very old but i decided when jfk was president
US:185927833,Years ago no reason behind my decision
US:3766998,When I was 18 years old
US:30135935,"Years ago, after first Trump election"
US:2158829,"Back in 1992, when I considered that the Republican and Democrats care more about winning than governimg"
US:182546603,When I saw how against people the Republicans were!
US:4571606,I really don't have to explain myself why I choose REPUBLICANS
US:447454,I don't like Republican policies
US:26300713,When I first registered to vote - approx. 50 years ago.
US:3865936,When I was a teenager
US:40658695,after obama
US:4254501,"When both parties say one thing and do another, don’t keep their word"
