person_id,when_think_pid
US:29454577,"I had been a Republican back in the 1970s and 1980s, but switched to Democrat when the Republican Party became infested with Rush Limbaugh. I switched back to Republican because of the Democrats supporting DEI and funding universities. The problem with universities extends beyond crazy left wing stuff. Science actually has become infected because too much money has been spent in it, and it has become a big bureaucracy, often advancing nonsense because people want to conform. I still do prefer the Democrats on smoking--they are more supportive of smoking bans in public places and other anti-tobacco measures. I slightly prefer the Democrats on other environmental issues, but they are now pretty weak. For example both Biden and Harris supported fracking, and the Democrats chose a coal lobbyist, Jaime Harrison, to be the head of the DNC just prior to the current head. Why did they do this? Because he was black, and that is all they care about."
US:39565636,During Obama’s term. He spoke a good game but created culture of racism and division. He blew it for me when he didn’t think America was great. I think that was in a speech in January.
US:2559310,Vietnam
US:131893163,1972
US:145200391,During Barack Obama's second term
US:2594180,When Nixon was awash in scandals.
US:27124844,About 10 years ago
US:188436735,When John McCain added Sarah Palin to his ticket to pander to women voters.
US:115442519,Always
US:140242283,As long as I can remember
US:188501541,Experiences with inequality and injustice made me identify with the Democratic Party's values.
US:170396695,When I became aware of politics so probably when Obama first ran for president
US:101669325,when I was 18
US:108028501,A few years ago
US:186891765,50 YEARS AGO I KNEW POLITICIANS LIE . I DON'T LIKE TO INVOLVE MYSELF IN CRIME AND CORRUPTION.
US:672977,years ago
US:187630747,When I voted for Obama
US:40246084,I've always have. I don't remember when
US:4638263,Always
US:2563039,During the Nixon administration
US:176224,When Joe Biden and Kamala Harris were first elected!
US:26619647,When I was about 7 years old
US:186895145,1960
US:31505686,1972
US:3089805,"Many, many years ago, but I always was proud of the fact that I rarely voted a straight party ticket. Always voted for the individual that best reflected my take on the issues."
US:171060083,"I guess I always have not politically followed the Democrat and the Republicans, but felt the Democrats had more heart"
US:172820435,The people should be able to decide on specific matters not only the politicians. Democrats are too liberal.
US:36497032,"A long time ago, over 50 years"
US:2876445,Don't remember
US:40594036,Because I know NOTHING about neither or politics so would just rather stay out completely of that topic.
US:32967718,always
US:141524063,About 20 years ago
US:2273805,Since I started voting
US:39409256,"My grandparents & parents wereDemocrats, so I always identified that way!"
US:28233243,1977 when I first registered to vote for the first time. I thought myself a Democrat when I saw what being a Republican is about.
US:46130737,After I heard the views of family.members
US:1215825,"56years ago, when I first registered to vote"
US:40642036,When Demorats did not pay attention to the will of the people!
US:135088049,When considering polices and actions that reflect the U S Constitution and the Bill of Rights.
US:197366017,Always
US:3164502,It was when I was watching a Rush Limbaugh show that I realized I was in the wrong party. I changed parties that year and I've never regretted it.
US:963660,in 1958 when I was 18 and could vote.
US:106791941,After the 2020 election
US:33759408,never
US:41792194,In the 1960s
US:153975485,I have never thought of myself as a Democrat. I voted for someone who happened to be a Democrat and it went on from there.
US:42677366,"Many years ago, for the first time; however, much more recently as the Democrat Party is no longer, even remotely, fighting for regular people, they fight for the super wealthy."
US:4515565,"In my mid-teens, I guess."
US:3141918,When I realized I was voting mostly for Republicans
US:32546137,"Most of my adult life, the only democratic president I considered was Jimmy Carter."
US:166973633,"As far back as I can remember, everyone of My family has been a democrat"
US:188253815,When I fur
US:206097593,Where do they find these politicians
US:163440249,Boring & irrelevant
US:134351069,Back in the 1990s
US:27926123,Always
US:25459674,When Donald Trump became the Republican nominee in 2016
US:40624657,My parents were democrats and I identified with most Democrat politicians
US:1184762,I used to be a Republican. However I moved away from them when had little tolerance for opposing views.
US:4278761,Twenty years ago
US:177983087,I registered Non-Partisan in 1972 the year I turned 21. After finding I could not vote in the Primaries I registered as a Democrat.
US:45726052,2012
US:169123083,When I stopped caring about what was happening with the government
US:146206817,When I was seventeen and thought George McGovern would be better than Nixon as president.
US:130887335,as a young adult
US:2631103,Over 40 years ago when I started seeing the way democrats were heading.
US:41414604,Democrats have become the party of the elites & have no morals. The party left me & most Americans. It's clear Democrats hate America.
US:28202945,When I first registered to voite
US:189290073,when i became an adult.
US:2734679,Obama years
US:170432149,In my early 20’s
US:3196180,When Trump ran the first time. I was thinking oh God we can't let this happen.
US:1154473,2025
US:1828095,During the 2000 election. I was Republican but hated the way the Republicans cheated Al Gore out of his presidency by using the SCOTUS. I re registered as a Democrat and haven't looked back.
US:140100201,1972
US:1499899,When I regisered to vote in 1952
US:615551,When Nixon was President
US:167984309,none
US:22084835,When I was 18
US:2969762,In the last 10 years
US:3191371,1970
US:108983179,"When I knew that it fights for the right of all people not just the rich, or middle class but the lower todompol of people , people right to speak , hear and see what they want. Not controlled by others."
US:3167039,. Certainly when Obama was elected.
US:2730631,1969
US:137003893,After I voted for Reagan and regretted my vote.
US:37668963,I vote for right reasons
US:131632537,I can’t remember
US:700171,Always
US:137855943,Age 20
US:3744133,Most of my life. My father was Republican. I was a member of the Young Republicans.
US:143918667,My father was a Democrat and he always told his eleven children that the Republican Party was for the rich and I truly believed him. Look what is happening now.
US:31254056,Always
US:1984612,growing up
US:29442981,"I ran for a school committee office in the '70s and was a republican then and before then, but I have voted for democrats on occasion as well."
US:101985793,Since birth - ha ha
US:169798611,When I realized that Trump was in the 2016 election running as president and the democrat candidate was saying things that sounded very socialistic
US:1316518,1976
US:39928608,Always
US:170195089,Since I became old enough to vote
US:22972579,As soon as I could vote.
US:138550513,In college
US:807523,In my teens during my first election after hitting 18
US:2746020,When I got my first paying job
US:4425732,when Clinton was running
US:193132985,"In the last year, when Donald Trump started to talk like a Fascist. I realized that being a Republican for 30 years means nothing now, that party is dead to me."
US:156714487,My whole life I have voted for conservative or libertarian candidates.
US:4541344,I knew I was a true Democrat from the time I was a teenager and have held my political views to this day.
US:3666980,"In 1976 when I was working for the Railroad and was instructed to Vote Democrat, or Else, harm could come to me or family."
US:4392477,18 years of age. I had to decide
US:1277139,"After Clinton 1, and I discovered he had lied and misrepresented most everything he said he stood for."
US:28818021,when I first starting to vote
US:101523499,I have always been a democrat
US:196596567,Don't know
US:913969,"not sure, the 90s maybe"
US:116835999,"For along time, don't like either party"
US:185480379,obama
US:200175807,In high school
US:579431,As I matured and followed more what was happening in our nation
US:30002325,Several years ago
US:22392855,After 6 years of Obama and several democratic Governers.
US:39459886,"When I learned the difference between Democrats and Republicans. Democrats these days are more compassionate, philanthropic, and seemingly more intelligent."
US:2816387,When I saw how off the wall the Democratic Party is
US:197403395,gaza
US:178817805,During the Obama administration
US:4603326,after bill clinton
US:163090299,I was born democrat
US:3173735,Always have since able to vote
US:24708581,1968
US:182600119,When I started listening to Rush Limbaugh and realized he made a lot of sense.
US:1284947,During Clinton presidency
US:120778421,always have
US:765554,We are for all people
US:1961133,When I was about 13
US:179994321,1984
US:187618805,Unknown
US:2143683,America First
US:1612035,Always when I could vote
US:41596731,"Back in 1970 and my Dad asked, who are you for? I said, Nixon. That's why I put Republican on my ID"
US:134436719,18
US:45692238,When Obama first became president
US:36454902,never
US:169740087,After Biden was elected
US:194533309,A long time.
US:121333755,1971
US:2963081,When Bush invaded Iraq
US:1981471,when i discovered that the Democratic party was communist.
US:823426,when trump decided to run
US:128546897,I dont know never thought about it
US:1402446,At age 21 when I voted for JFK.
US:2491549,"As a lifetime Democrat, I continue to be impressed with our core values"
US:126861069,"Probably, I thought of myself as a republican at about age 20 because I though about my values and government polies more when I became more of an adult."
US:3130390,15
US:2539584,When I first voted.
US:3086877,Many years ago
US:11291,Early 20s
US:27378582,40 years ago
US:41902300,When I was very young
US:132450979,My family has always been democracy’s. Oboma changed my mind.
US:4202712,When I was 21 and start getting news from different sources. I also have a degree in history and see the detrimental effects of socialism and the nanny state.
US:158694127,When I became an adult and could evaluate the issues myself.
US:22954833,When Ronald Reagan was in office
US:32974396,During Trumps first presidency
US:543159,All of my life. I grew up in a politically active household. I briefly became a Republican in my early 20s but went to meetings and caucuses and soon realized it was not for me. Being a Democrat is as much something I do as something I am.
US:27926155,When I voted for the first time
US:877476,When I turned 18 and voted.
US:29767816,Substance over appearances
US:139642321,1968
US:138645977,When I first started voting many years ago.
US:2073015,1972
US:107505357,five years ago
US:27393269,Cannot remember that far back
US:494406,since teen years
US:2413449,when I started High School
US:27126759,From 18 years of age
US:27502692,After realization that foreign policy is the same under both parties.
US:174507183,When I was old enough to vote
US:130529895,As a teenager
US:165213033,Long ago (I am 750
US:131661457,I was a Democrat from my very first vote. My Mom was a Democrat but my Dad was a Republican whose father was a local elected official. The values of the Democratic Party resonated with me early on and still do.
US:323056,All of my life
US:28437669,I am not sure
US:203285677,Not sure
US:185519765,When I came to live here eight years ago
US:39128355,At 18 when enlisting in Army.
US:2018206,In high school
US:4277067,I'm not exactly sure I used to be Democrat for a long time and I kind of flip sides once the Democrats start becoming whiny about everything
US:3654093,Since forever. I dont understand politics at all. Politicians all lie so it is hard to believe anything.
US:181358225,When Trump became the republican nominee
US:4170926,In the 1980s.
US:168833811,always
US:184157461,I have been one for 25 years.
US:26203425,When I registered to vote way back when.
US:198182127,"My parents were Democrats but I lived and grew up in a Republican state. They ran the newspaper, so I was informed on issues which helped me to make up my mind"
US:1119444,All of my adult life
US:201386771,Unsure
US:167802817,as a kid
US:153956491,don't know
US:18856,In high school
US:677956,When I was 19.
US:41010027,All of my life
US:134422429,Reagan
US:59809,1965
US:192591025,1972. My first time to vote and clearly the Republican Party and my views are similar.
US:2326398,1965
US:32073022,Always. I don't agree with either parties political theater
US:25027018,my entire life
US:41039581,1980 president election
US:40502040,55 years ago we!l
US:876484,1979
US:168640605,2008
US:40439279,When Ronald Reagan defeated Jimmy Carter
US:4214353,During the last Trump administration
US:4718846,as a youth when it came time to vote
US:4053981,after I got divorced and my husband quit going in the voting booth with me and changing all of my votes to republican
US:120197945,Several years ago
US:1462956,"After I left high school, I realized that I wanted to vote based on what candidate I believed was best rather than sticking with one party"
US:192997559,Over 40 years ago
US:134467757,In 2015 after finding out that Donald Trump was running for president. I voted for Obama in 2012 and I had greatly regretted voting for him.
US:40746030,Many many years ago.
US:123356213,When I first started voting every year I voted for the Democratic party
US:41598263,When I saw what they wanted to do for the country
US:119723801,probably 2016 when I realized neither party was good
US:2335511,Mid 90s.
US:40026978,Na
US:141374753,in 2016
US:4505860,"1976 when I read ""Atlas Shrugged"""
US:192892423,Always
US:2280205,2016. Have been a true independent but the Republican Party has been hijacked and they are finding it hard to stand up to Trump. The GOP is no longer
US:3075231,I have always been conservative in my views.
US:2709302,"In high school, after closely identifying with the Republican Party prior."
US:2827179,Since Regan
US:25877219,2004
US:3188763,50 years ago in college
US:1128263,During the Carter administration
US:147006233,no comment
US:160119163,1970
US:29137695,Teenager
US:134654857,No comments
US:752140,Every since I voted for the first time. My parents are Democrat
US:188768029,Childhood
US:41837329,"Fourth grade, age 10."
US:108085039,When I first voted.
US:1536058,when I decided to run for assessor in our town which was controlled by republicans
US:30889178,"actually, when Barack Obama ran for presidency"
US:38150523,"Young, my family were hard working middle-class Democrats."
US:2606768,age 30
US:112322401,In 1984 voted against Reagan thought he was not a good President.
US:197042513,1964
US:40429605,for as long as I can remember
US:191074421,The late 90s as Sununu brought about the win at any cost philosophy and integrity began vanishing from the GOP.
US:206879589,I can't remember
US:40749114,All my life!!
US:2970581,"Only when Trump took over the Republican party and began his campaign of lies, ridiculouslessness and destroying this country"
US:200185177,Freedom of speech
US:482788,After Obama’s first term. I voted for Obama the first time. That was my last time voting for a Democrat
US:134900403,When I became an adult and started paying taxes
US:3448310,Very young
US:29677730,Before I first registered to vote.
US:39571860,When the republicans didn’t obey president Obama for his nominee to the Supreme Court
US:144423357,When I learned about republicans
US:41902346,As a child
US:193479349,since i was 20
US:1202726,about 10 years ago
US:4542405,When I voted for most for Republican than Democrats
US:155971683,Reagan era
US:194036659,Around 2008
US:148223427,When I was first able to vote
US:166176695,Can’t remember
US:163192995,always
US:2760647,2012 when I became a citizen and could vote
US:194929215,The first time I voted was for Ronald Reagan. The Carter administration and the way they handled the hostage situation didn't sit well with me. At that time I considered myself center between the left and the right. I voted for 2x for Reagan and the Older Bush however I thought Clinton wasn't bad and I hated the younger Bush and voted for Kerry. I didn't vote for Obama but I thought we should give the Man a chance. By the time he got out of office I changed my Democrat standing to Republican. I thought he wasn't a good President and cringed at the thought of Hillary becoming President. I will never vote for a Democrat again. Especially after the horrible job The Biden administration did with our Country but here in Delaware we already knew he was a corrupt liar and a embarrassment to Delaware. Him and the Transvestite Sara McBride.
US:39890684,Can't say
US:188063509,"In elementary school, we learned the differences between the parties and my gut identified with democrat views ."
US:194191991,Not sure
US:23655346,When I registered as a Democrat around 2017 or so.
US:35751182,It was definitely after President Obama's time.
US:29769192,Summer 2020 and the praising of violence from the Democratic leaders.
US:3520768,Both parties need to have TERM LIMITs. These life long politicians are all crooks. They have dirt on both sides.
US:31154189,From the beginning as far as I can remember
US:2907015,During the Obama presidency I started noticing that I was agreeing with some of the republican policies and talking points.
US:25185204,When Obama ran for President
US:41013035,For as long as I can remember.
US:27586924,When I registered to vote
US:121261917,When John F Kennedy ran for president.
US:198997249,I thought of myself as a Democrat upon achieving the age when I could vote.
US:27796750,After the Clinton presidency.
US:23312295,2015
US:101433183,Because I never liked any of the Democrats
US:4661069,From the time I was in Highschool
US:125711769,2008
US:133089909,As a teen
US:121586369,I've always been a republican.
US:4180727,2016
US:2601198,When Republicans stopped prioritizing people over making money. “Its a country not a corporation.”
